283	Terry Pratchett, Neil Gaiman	1990	Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch	en-US
282	Neil Gaiman	2002	Coraline	eng
43	Charlotte Brontë, Michael Mason	1847	Jane Eyre	eng
8	J.D. Salinger	1951	The Catcher in the Rye	eng
289	Richard Adams	1972	Watership Down	eng
561	Norton Juster, Jules Feiffer	1961	The Phantom Tollbooth	en-US
89	William Goldman	1973	The Princess Bride	en-US
371	Robert A. Heinlein	1961	Stranger in a Strange Land	eng
633	Robert A. Heinlein	1959	Starship Troopers	en-CA
1179	Robert A. Heinlein	1966	The Moon is a Harsh Mistress	eng
492	Orson Scott Card	1986	Speaker for the Dead	en-US
760	Orson Scott Card	1998	Ender's Shadow	eng
838	Orson Scott Card	1991	Xenocide	eng
1213	Orson Scott Card	1996	Children of the Mind	eng
474	Richard Dawkins	2006	The God Delusion	eng
1368	Terry Pratchett	1992	Small Gods	en-GB
429	Terry Pratchett	1983	The Colour of Magic	eng
894	Terry Pratchett	1989	Guards! Guards!	eng
1342	Terry Pratchett	2002	Night Watch	eng
1337	Terry Pratchett	2004	Going Postal	eng
1343	Terry Pratchett	1986	The Light Fantastic	en-US
755	Terry Pratchett	1987	Mort	eng
1089	Terry Pratchett	1987	Equal Rites	eng
168	Stephen King, Bernie Wrightson	1978	The Stand	en-US
72	Stephen King	1977	The Shining	eng
176	Stephen King	1986	It	en-US
243	Stephen King	1987	Misery	en-GB
305	Stephen King	1983	Pet Sematary	eng
349	Stephen King	1975	Salem's Lot	en-GB
691	Stephen King	1999	On Writing: A Memoir of the Craft	eng
553	Stephen King	1991	Needful Things	
1261	Stephen King	1987	Eyes of the Dragon	eng
1248	Stephen King, Peter Straub	1984	The Talisman	en-US
915	Stephen King, Bettina Blanch Tyroller	1994	Insomnia	spa
609	Stephen King	2006	Cell	en-US
191	Alan Moore, Dave Gibbons, John Higgins	1987	Watchmen	en-US
196	Chuck Palahniuk	1996	Fight Club	eng
951	Chuck Palahniuk	1999	Survivor	en-US
1124	Chuck Palahniuk	2002	Lullaby	
1389	Chuck Palahniuk	2003	Diary	eng
854	Chuck Palahniuk	1999	Invisible Monsters	eng
1236	Chuck Palahniuk	2005	Haunted: A Novel of Stories	eng
743	Christopher Moore	2002	Lamb: The Gospel According to Biff, Christ's Childhood Pal	en-US
1153	Christopher Moore	2006	A Dirty Job	en-US
130	Ernest Hemingway	1952	The Old Man and the Sea	eng
