user_id	cnt	attr
12874	200	C
30944	200	C
28158	199	M
52036	199	M
12381	199	M
45554	197	M
6630	197	M
37834	196	M
9668	196	M
19729	196	M
14372	196	M
7563	196	M
15604	196	M
9806	196	M
24143	196	M
10509	195	M
38798	195	M
33065	195	M
9731	195	M
25840	195	M
10288	194	M
32745	194	M
53293	194	M
17566	194	M
26718	194	M
24499	193	M
32305	193	M
50999	193	M
25164	193	M
3739	193	M
8167	193	M
2487	193	M
39703	193	M
26145	193	M
32748	193	M
28767	193	M
49288	193	M
26629	193	M
43602	193	M
23603	193	M
49289	192	M
53292	192	M
6342	192	M
48687	192	M
12471	192	M
49297	192	M
49295	192	M
14248	191	M
38475	191	M
48482	191	M
5645	191	M
23303	191	M
8510	191	M
15494	191	M
29819	191	M
15645	190	M
8484	190	M
48440	190	M
12946	190	M
30184	190	M
30681	190	M
32055	190	M
21713	190	M
13776	190	M
17643	190	M
46482	190	M
11692	190	M
1185	190	M
9011	190	M
29951	190	M
2900	190	M
9246	190	M
10402	190	M
10249	190	M
11285	190	M
11927	190	M
13991	190	M
42574	190	M
21733	190	M
40126	189	M
7001	189	M
25278	189	M
14603	189	M
50133	189	M
50104	189	M
27934	189	M
42810	189	M
32923	189	M
42508	189	M
25182	189	M
10335	189	M
47476	189	M
1952	189	M
11945	189	M
14192	189	M
24834	189	M
6698	189	M
10146	189	M
47800	188	M
21676	188	M
3922	188	M
5461	188	M
16569	188	F
10140	188	F
37284	188	F
53245	188	F
27499	188	F
43622	188	F
38082	188	F
2324	188	F
10610	188	F
29703	188	F
19526	188	F
951	188	F
33697	188	F
47411	187	F
30313	187	F
21228	187	F
42404	187	F
23612	187	F
18361	187	F
30233	187	F
44397	187	F
46139	187	F
11999	187	F
13794	187	F
38865	187	F
51460	187	F
10111	187	F
5115	187	F
9125	187	F
50101	187	F
1169	187	F
46977	187	F
19724	187	F
17434	187	F
10751	187	F
24326	187	F
19942	187	F
22164	186	F
47478	186	F
16913	186	F
49298	186	F
13034	186	F
15547	186	F
27834	186	F
51166	186	F
588	186	F
30283	186	F
10944	186	F
21487	186	F
14546	186	F
33716	186	F
17663	186	F
8370	186	F
11272	186	F
18100	186	F
22602	186	F
5272	186	F
11691	186	F
21217	185	F
46472	185	F
45493	185	F
5436	185	F
50096	185	F
33872	185	F
18031	185	F
3087	185	F
51838	185	F
48559	185	F
11569	185	F
46421	185	F
20467	185	F
2276	185	F
3662	185	F
47730	185	F
6063	185	F
24845	185	F
5885	185	F
18798	185	F
20782	185	F
36099	185	F
18313	184	F
26053	184	F
41074	184	F
4606	184	F
32918	184	F
11868	184	F
32635	184	F
12476	184	F
26579	184	F
8710	184	F
20967	184	F
14385	184	F
13282	184	F
30794	184	F
33890	184	F
28824	184	F
2171	184	F
13274	184	F
4536	184	F
11408	184	F
