book_id	year	TF_year_val
283	1990	1.0
282	2002	1.0
43	1847	1.0
8	1951	1.0
289	1972	1.0
561	1961	1.0
89	1973	1.0
371	1961	1.0
633	1959	1.0
1179	1966	1.0
492	1986	1.0
760	1998	1.0
838	1991	1.0
1213	1996	1.0
474	2006	1.0
1368	1992	1.0
429	1983	1.0
894	1989	1.0
1342	2002	1.0
1337	2004	1.0
1343	1986	1.0
755	1987	1.0
1089	1987	1.0
168	1978	1.0
72	1977	1.0
176	1986	1.0
243	1987	1.0
305	1983	1.0
349	1975	1.0
691	1999	1.0
1261	1987	1.0
1248	1984	1.0
915	1994	1.0
609	2006	1.0
191	1987	1.0
196	1996	1.0
951	1999	1.0
1389	2003	1.0
854	1999	1.0
1236	2005	1.0
743	2002	1.0
1153	2006	1.0
130	1952	1.0
401	1929	1.0
395	1940	1.0
1202	1985	1.0
637	1950	1.0
1074	1959	1.0
350	1971	1.0
170	1998	1.0
145	2001	1.0
276	1951	1.0
789	1952	1.0
503	1968	1.0
1019	1953	1.0
897	1973	1.0
95	1891	1.0
126	1965	1.0
1105	1969	1.0
1262	1976	1.0
929	1954	1.0
28	1954	1.0
666	2005	1.0
322	1996	1.0
167	2001	1.0
1367	1958	1.0
1010	1988	1.0
499	1991	1.0
670	1979	1.0
556	1981	1.0
1139	1987	1.0
1042	1987	1.0
337	1996	1.0
129	1962	1.0
696	1985	1.0
365	1990	1.0
32	1937	1.0
301	1899	1.0
173	1962	1.0
205	1976	1.0
390	1886	1.0
410	1958	1.0
142	1989	1.0
103	1844	1.0
33	1997	1.0
14	1945	1.0
58	1884	1.0
65	1969	1.0
22	2002	1.0
60	2003	1.0
115	2002	1.0
57	2001	1.0
9	2000	1.0
38	2003	1.0
29	1595	1.0
100	1998	1.0
67	2007	1.0
35	1988	1.0
40	2006	1.0
119	1985	1.0
122	1995	1.0
121	1955	1.0
94	1967	1.0
495	2000	1.0
42	1868	1.0
287	1943	1.0
669	1982	1.0
736	1952	1.0
642	2007	1.0
212	2001	1.0
10	1813	1.0
230	1817	1.0
171	1815	1.0
76	1811	1.0
426	1980	1.0
1142	1999	1.0
26	2003	1.0
11	2003	1.0
50	1974	1.0
101	2000	1.0
7	1937	1.0
55	1932	1.0
344	1997	1.0
19	1954	1.0
378	2003	1.0
405	1973	1.0
225	1952	1.0
326	1999	1.0
238	2002	1.0
1102	2003	1.0
64	2004	1.0
328	2007	1.0
306	1992	1.0
325	1989	1.0
476	1978	1.0
704	1985	1.0
133	1908	1.0
1210	1909	1.0
1112	1915	1.0
70	1985	1.0
693	1987	1.0
278	1981	1.0
1167	1308	1.0
48	1953	1.0
113	1961	1.0
398	2001	1.0
209	1988	1.0
4	1960	1.0
919	1993	1.0
828	2000	1.0
84	1990	1.0
184	1988	1.0
37	1950	1.0
1299	1980	1.0
373	1982	1.0
599	1980	1.0
751	1982	1.0
1014	1984	1.0
54	1979	1.0
1332	1992	1.0
766	1989	1.0
