user_id	language	UA_language_val
951	en-us	152.0
951	eng	619.0
951	en-ca	1.0
951	spa	5.0
951	ger	5.0
951	en-gb	4.0
2276	eng	425.0
2276	en-us	158.0
2276	en-ca	5.0
2276	en-gb	19.0
2276	spa	9.0
2487	eng	440.0
2487	en-us	147.0
2487	fre	3.0
2487	en-ca	4.0
2487	en-gb	9.0
3087	eng	555.0
3087	en-us	122.0
3087	en-ca	12.0
3087	spa	5.0
3087	en-gb	3.0
3087	fre	4.0
3087	ger	5.0
3662	eng	582.0
3662	en-us	125.0
3662	en-gb	5.0
3662	spa	4.0
3922	eng	569.0
3922	en-us	156.0
3922	spa	9.0
3922	en-ca	3.0
4536	eng	414.0
4536	en-us	146.0
4536	en-ca	3.0
4536	en-gb	9.0
4536	spa	2.0
4606	eng	402.0
4606	spa	7.0
4606	en-us	210.0
4606	en-gb	28.0
5272	eng	503.0
5272	en-us	134.0
5272	en-ca	5.0
5272	spa	4.0
5436	en-us	151.0
5436	eng	414.0
5436	fre	10.0
5436	spa	12.0
5436	en-gb	20.0
5436	en-ca	4.0
5885	eng	416.0
5885	en-us	213.0
5885	spa	5.0
1169	eng	502.0
1169	en-us	151.0
1169	en-gb	4.0
1169	en-ca	7.0
6063	eng	492.0
6063	en-us	151.0
6063	en-ca	3.0
6063	en-gb	25.0
6063	spa	3.0
7001	eng	544.0
7001	en-us	167.0
7001	en-ca	11.0
7001	spa	5.0
7001	en-gb	3.0
3739	en-us	164.0
3739	eng	627.0
3739	spa	4.0
8167	eng	501.0
8167	en-us	83.0
8167	spa	5.0
8167	ger	4.0
8167	en-ca	2.0
8167	en-gb	11.0
5645	en-us	193.0
5645	eng	602.0
5645	spa	5.0
5645	en-ca	8.0
5645	en-gb	3.0
8370	en-us	145.0
8370	eng	438.0
8370	en-ca	13.0
8370	en-gb	7.0
8370	ger	2.0
8484	en-us	228.0
8484	eng	472.0
8484	spa	4.0
8484	en-ca	5.0
8484	en-gb	22.0
2171	eng	465.0
2171	en-us	171.0
2171	ger	2.0
2171	spa	5.0
2171	en-gb	19.0
2171	en-ca	7.0
8710	en-us	146.0
8710	eng	405.0
8710	en-gb	6.0
1185	en-us	143.0
1185	eng	446.0
1185	en-gb	5.0
1185	en-ca	16.0
1952	eng	608.0
1952	en-us	148.0
1952	en-ca	4.0
1952	en-gb	4.0
6698	eng	447.0
6698	en-us	158.0
6698	en-gb	24.0
6698	spa	7.0
6698	en-ca	7.0
2900	eng	566.0
2900	en-us	135.0
2900	en-gb	3.0
2900	spa	5.0
2900	en-ca	3.0
2900	ger	4.0
9011	eng	391.0
9011	en-ca	4.0
9011	en-us	102.0
9011	en-gb	3.0
9125	eng	332.0
9125	en-us	93.0
9125	en-ca	1.0
9125	ger	3.0
9125	en-gb	1.0
9125	per	1.0
9731	eng	458.0
9731	en-us	97.0
9731	spa	10.0
9731	en-gb	17.0
9731	en-ca	3.0
9731	ger	4.0
9806	eng	557.0
9806	en-us	93.0
9806	en-ca	3.0
9806	ger	3.0
9806	en-gb	8.0
10140	eng	444.0
10140	en-us	101.0
10140	en-gb	6.0
10140	en-ca	2.0
10146	eng	531.0
10146	en-us	159.0
10146	en-ca	4.0
10146	en-gb	4.0
6342	eng	576.0
6342	en-us	116.0
6342	spa	8.0
6342	en-ca	4.0
10249	en-us	201.0
10249	eng	542.0
10249	spa	3.0
10249	en-ca	19.0
10249	en-gb	8.0
10402	eng	439.0
10402	en-us	125.0
10402	spa	12.0
10402	en-gb	14.0
10402	fre	3.0
10335	eng	544.0
10335	en-us	132.0
10335	en-gb	11.0
10509	eng	534.0
10509	en-us	153.0
10509	spa	4.0
10509	en-ca	9.0
10509	en-gb	19.0
10111	eng	533.0
10111	en-us	138.0
10111	spa	10.0
10111	en-gb	14.0
10111	fre	6.0
10610	eng	581.0
10610	en-us	156.0
10610	spa	5.0
10610	en-ca	3.0
10610	en-gb	10.0
10610	ger	3.0
5115	en-gb	23.0
5115	en-us	159.0
5115	eng	408.0
5115	nl	4.0
5115	spa	6.0
5115	en-ca	3.0
10751	eng	492.0
10751	en-us	114.0
10751	en-gb	29.0
10751	spa	5.0
10751	fre	9.0
10751	ger	5.0
10944	eng	553.0
10944	en-us	151.0
10944	spa	4.0
10944	en-ca	4.0
10944	en-gb	8.0
11272	eng	445.0
11272	en-us	107.0
11272	en-gb	21.0
11285	fre	4.0
11285	eng	481.0
11285	en-us	112.0
11285	en-gb	7.0
11285	spa	3.0
11408	eng	364.0
11408	en-us	114.0
11408	en-ca	1.0
11408	en-gb	7.0
11408	fre	2.0
11692	eng	622.0
11692	en-us	118.0
11692	en-ca	3.0
11692	en-gb	4.0
11868	eng	573.0
11868	en-us	74.0
11868	spa	4.0
11868	en-gb	8.0
11927	eng	496.0
11927	en-us	154.0
11927	spa	6.0
11927	en-ca	4.0
11927	en-gb	4.0
11945	eng	569.0
11945	en-us	206.0
11945	spa	4.0
11945	en-gb	14.0
11945	en-ca	4.0
8510	eng	459.0
8510	en-us	152.0
8510	en-ca	12.0
8510	en-gb	11.0
11999	eng	397.0
11999	en-us	97.0
11999	en-ca	3.0
11999	en-gb	9.0
12471	en-us	157.0
12471	eng	478.0
12471	spa	4.0
12471	en-gb	13.0
12476	en-us	116.0
12476	eng	388.0
12476	en-ca	4.0
12476	en-gb	5.0
12874	en-us	124.0
12874	eng	513.0
12874	en-ca	9.0
12874	spa	3.0
12874	en-gb	5.0
12946	eng	595.0
12946	en-us	150.0
12946	spa	5.0
13034	eng	504.0
13034	en-us	95.0
13034	en-ca	8.0
13034	en-gb	12.0
13274	eng	398.0
13274	en-us	199.0
13274	en-gb	13.0
13274	fre	6.0
13274	spa	6.0
13282	eng	600.0
13282	en-us	167.0
13282	spa	7.0
13282	en-ca	5.0
13282	en-gb	3.0
13776	eng	470.0
13776	fre	7.0
13776	en-us	148.0
13776	en-ca	4.0
13776	en-gb	12.0
13776	spa	3.0
13794	eng	473.0
13794	en-us	89.0
13794	spa	4.0
13794	en-ca	2.0
13794	en-gb	2.0
13794	fre	4.0
13991	eng	555.0
13991	en-us	128.0
13991	spa	11.0
13991	en-ca	4.0
13991	en-gb	18.0
13991	ger	4.0
13991	fre	11.0
14248	eng	573.0
14248	en-us	119.0
14248	en-ca	10.0
14248	ara	5.0
14248	fre	3.0
14248	en-gb	4.0
14372	eng	503.0
14372	en-us	142.0
14372	en-ca	2.0
14372	en-gb	10.0
14372	ger	4.0
14546	eng	557.0
14546	en-us	217.0
14546	en-gb	25.0
14546	spa	8.0
14546	fre	5.0
14603	eng	552.0
14603	en-us	127.0
14603	en-ca	3.0
14603	en-gb	8.0
14603	ger	4.0
15494	en-us	158.0
15494	eng	411.0
15494	en-ca	6.0
15494	en-gb	20.0
15494	spa	3.0
15494	fre	3.0
14192	eng	627.0
14192	en-us	85.0
14192	spa	3.0
14192	en-gb	5.0
15604	eng	617.0
15604	en-us	99.0
15604	spa	11.0
15604	en-ca	4.0
15604	en-gb	13.0
15645	en-us	214.0
15645	en-gb	25.0
15645	eng	406.0
15547	eng	400.0
15547	en-gb	14.0
15547	en-us	114.0
15547	ara	4.0
15547	fre	4.0
9668	eng	512.0
9668	en-us	189.0
9668	en-gb	9.0
7563	eng	527.0
7563	en-us	108.0
7563	en-gb	10.0
7563	fre	4.0
7563	spa	3.0
7563	en-ca	4.0
2324	eng	524.0
2324	en-us	197.0
2324	en-gb	39.0
2324	spa	7.0
2324	fre	8.0
16913	eng	496.0
16913	en-us	193.0
16913	en-gb	9.0
16913	en-ca	10.0
5461	eng	563.0
5461	en-us	161.0
5461	en-ca	17.0
5461	spa	4.0
5461	en-gb	3.0
16569	eng	563.0
16569	en-us	119.0
16569	spa	7.0
16569	en-gb	10.0
17434	eng	500.0
17434	en-us	138.0
17434	en-ca	7.0
17434	en-gb	13.0
17434	fre	3.0
17566	eng	448.0
17566	en-ca	7.0
17566	en-us	187.0
17566	en-gb	3.0
17566	spa	4.0
17643	en-us	115.0
17643	en-gb	32.0
17643	eng	462.0
17643	en-ca	3.0
17643	spa	7.0
17643	fre	17.0
17663	eng	477.0
17663	en-us	142.0
17663	en-ca	19.0
17663	en-gb	10.0
18031	en-us	195.0
18031	eng	516.0
18031	en-ca	7.0
18031	spa	10.0
18031	en-gb	10.0
18313	eng	496.0
18313	en-us	168.0
18313	en-ca	5.0
18313	en-gb	12.0
18361	eng	594.0
18361	en-gb	11.0
18361	en-us	129.0
12381	eng	542.0
12381	en-us	124.0
19526	eng	528.0
19526	en-us	180.0
19526	en-ca	3.0
19526	en-gb	13.0
19526	nl	4.0
19526	spa	10.0
19724	eng	502.0
19724	en-us	173.0
19724	en-gb	10.0
19724	en-ca	4.0
19724	spa	8.0
11691	eng	561.0
11691	spa	9.0
11691	en-us	132.0
11691	en-ca	6.0
11691	en-gb	7.0
19942	en-us	168.0
19942	eng	501.0
19942	en-gb	4.0
21228	eng	518.0
21228	en-us	124.0
21228	en-gb	12.0
21228	en-ca	13.0
21228	spa	5.0
21217	eng	495.0
21217	en-us	79.0
21217	spa	8.0
21217	en-ca	4.0
21217	en-gb	8.0
21487	en-ca	8.0
21487	eng	471.0
21487	en-us	128.0
21487	fre	4.0
21487	en-gb	23.0
21487	nl	3.0
21676	en-us	220.0
21676	en-gb	23.0
21676	eng	475.0
21676	fre	4.0
21676	en-ca	5.0
21676	spa	3.0
21713	en-us	107.0
21713	eng	518.0
21713	en-gb	39.0
21713	spa	13.0
21713	fre	9.0
21733	eng	473.0
21733	en-us	80.0
21733	spa	4.0
22164	eng	478.0
22164	en-us	145.0
22164	spa	4.0
22164	en-ca	3.0
22164	ger	3.0
22164	en-gb	5.0
6630	eng	468.0
6630	en-us	128.0
6630	en-gb	19.0
6630	spa	12.0
6630	fre	12.0
6630	en-ca	8.0
23303	eng	370.0
23303	en-us	166.0
23303	en-gb	23.0
23303	spa	9.0
23303	fre	3.0
23303	en-ca	7.0
23603	en-us	167.0
23603	eng	468.0
23603	en-gb	13.0
20782	eng	578.0
20782	en-us	117.0
20782	en-ca	9.0
20782	spa	4.0
24326	eng	523.0
24326	en-gb	3.0
24326	en-us	125.0
24326	en-ca	12.0
24326	ger	4.0
24499	eng	487.0
24499	en-us	86.0
24499	en-gb	5.0
24499	spa	8.0
24499	en-ca	6.0
24834	eng	527.0
24834	en-us	179.0
24834	en-gb	24.0
24834	en-ca	10.0
24834	nl	5.0
24834	spa	5.0
24845	en-us	182.0
24845	eng	514.0
24845	en-gb	16.0
24845	en-ca	4.0
25182	eng	557.0
25182	en-gb	15.0
25182	en-us	162.0
25182	spa	3.0
25182	fre	2.0
25278	eng	583.0
25278	en-us	130.0
25278	en-gb	23.0
25278	spa	10.0
25278	fre	6.0
11569	eng	512.0
11569	en-us	134.0
11569	en-gb	12.0
11569	en-ca	2.0
11569	ger	4.0
26053	en-us	162.0
26053	eng	319.0
26053	en-gb	23.0
26053	en-ca	17.0
26145	en-us	108.0
26145	eng	428.0
26145	en-gb	6.0
26145	spa	6.0
26145	en-ca	3.0
25840	eng	599.0
25840	en-us	113.0
25840	en-ca	6.0
25840	spa	2.0
25840	en-gb	8.0
26718	eng	442.0
26718	en-us	201.0
26718	en-gb	12.0
26718	en-ca	3.0
18100	eng	529.0
18100	en-us	120.0
18100	en-gb	14.0
18100	en-ca	9.0
18100	ger	4.0
18100	spa	4.0
18100	fre	2.0
22602	eng	446.0
22602	en-us	136.0
22602	en-gb	6.0
22602	en-ca	4.0
22602	ger	7.0
25164	eng	554.0
25164	en-us	97.0
25164	en-gb	15.0
25164	en-ca	3.0
25164	spa	4.0
28158	eng	572.0
28158	en-us	134.0
28158	en-ca	4.0
28158	en-gb	3.0
27834	eng	649.0
27834	en-ca	4.0
27834	en-us	100.0
27834	spa	5.0
28767	eng	439.0
28767	en-us	129.0
28767	en-gb	7.0
28767	en-ca	5.0
28767	spa	3.0
28767	fre	5.0
28824	eng	436.0
28824	en-us	126.0
28824	spa	3.0
28824	en-gb	8.0
29819	eng	460.0
29819	en-us	137.0
29819	nl	2.0
29819	en-ca	5.0
29819	en-gb	9.0
29819	fre	3.0
14385	en-us	173.0
14385	eng	534.0
14385	en-gb	9.0
14385	spa	2.0
30184	en-us	233.0
30184	eng	564.0
30184	en-gb	35.0
30184	spa	10.0
30184	fre	15.0
30233	eng	346.0
30233	en-us	125.0
30233	spa	5.0
30233	en-gb	13.0
30233	en-ca	8.0
30283	eng	600.0
30283	en-gb	24.0
30283	en-us	145.0
30313	en-us	144.0
30313	eng	560.0
30313	en-ca	11.0
30313	fre	4.0
30313	en-gb	10.0
30313	spa	5.0
30681	eng	394.0
30681	en-us	186.0
30681	en-gb	15.0
30681	fre	4.0
30681	spa	4.0
30794	eng	453.0
30794	en-us	86.0
30794	en-ca	7.0
